Sector,Class,R2_Pre-Crisis,beta_Pre-Crisis,idio_Pre-Crisis,totvol_Pre-Crisis,meanret_Pre-Crisis,R2_Crisis,beta_Crisis,idio_Crisis,totvol_Crisis,meanret_Crisis,R2_Recovery,beta_Recovery,idio_Recovery,totvol_Recovery,meanret_Recovery,dR2_crisis,idio_ratio_crisis,pattern
Healthcare_Equipment_and_Services,Defensive,0.21099659780604896,0.7344468843461324,1.7114645346880815,1.9253909182964328,0.10630161828202205,0.1476939903863762,0.5626443880325691,2.9969995660003015,3.2381350807309115,-0.1527139512472133,0.09564009120630068,0.5028904384774637,1.3564904038663699,1.4253246354533629,0.02734753709773879,-0.06330260741967275,0.7511315632061939,True
"Food,_Beverage_and_Tobacco",Defensive,0.5055927108479943,0.6615662909454829,0.7967447604690607,1.1323149375014385,0.04541056486685502,0.7343516946346598,0.926139864829826,1.2062098301191235,2.3344006501600103,-0.17764251435512368,0.47677850431685953,0.7867995288459583,0.710863360553302,0.9819990277915875,0.13561401837798312,0.22875898378666548,0.5139225131634402,False
Telecommunication_Services,Defensive,0.2477817529797024,0.6258508947021734,1.3286296387867584,1.5308141121094818,0.048114071952177546,0.195126776489999,0.47219128674835675,2.1479144221730704,2.3881372966349024,-0.04519994811682574,0.1316013790301903,0.6145011796826827,1.3721697595554245,1.4713500144387355,0.12494373675680734,-0.05265497648970341,0.6166389484841268,True
Banks,Cyclical,0.44179485923084083,0.8180963110523126,1.1048999065750664,1.4778027618652247,-0.03508423895040723,0.380434162584286,0.46466492363138856,1.331339748050262,1.6871403950076356,-0.24051936552712774,0.40127790846185685,1.265584008432742,1.2791614508301405,1.6518873899674966,0.22597255319919166,-0.06136069664655486,0.20494149753085478,True
Capital_Goods,Cyclical,0.6594689352903029,1.1060542895489185,0.9346709341845066,1.6005558101704829,0.1148826160564759,0.637490276362318,1.0200908840577703,1.6523718504148297,2.7374992862563,-0.19242141485053224,0.38443561660199144,0.7416185751350535,0.8117195704351151,1.0338011038537789,0.08513845699034066,-0.021978658927984895,0.7678648067263498,True
Consumer_Durables_and_Apparel,Cyclical,0.5001969824881052,1.2535429709855137,1.453362482160873,2.054305178471275,0.14794772302226744,0.5233312600777301,0.8163987367085317,1.7000895032069625,2.4562326894680684,-0.24042288051936303,0.24079535108338213,0.7745867978383959,1.1829754866942188,1.3566381711730535,0.07575180693428035,0.02313427758962494,0.16976289402988676,False
Consumer_Services,Cyclical,0.3096533116115464,0.8107647756650075,1.4526310833910925,1.7470774690833941,0.06989714669017952,0.3872191431708055,0.6401946666106773,1.7814322123167186,2.2699838283017257,-0.032865858903803905,0.2857664922775628,0.7192543410293942,0.9840258746274353,1.1634671460946369,0.0785387064821483,0.07756583155925911,0.22634868046335388,False
Diversified_Financials,Cyclical,0.3045309409477517,1.1283097190122615,1.9887510665771433,2.383043510018818,0.2330424925244517,0.7383370230700503,1.5661853393903924,1.9209784511699328,3.745910623813919,-0.40843494585279727,0.4727296118151263,1.1496206070776023,1.016033565380999,1.3981671076553428,0.12946516527981977,0.43380608212229865,-0.034077978157344035,False
Energy,Cyclical,0.17369422787262323,0.9270694401967866,2.3862233745845987,2.623198499524312,0.12120657882795799,0.4364948373222187,1.817362806397532,4.140913549963014,5.502414096588716,0.4642815415345218,0.12346891919595404,0.7083156916997603,1.6233292200105305,1.7325694901254942,-0.04890054212380988,0.2628006094495955,0.7353419608857354,False
Insurance,Cyclical,0.04151460224224757,0.33906074493959715,2.021179890265401,2.063016355405985,-0.02634784581600391,0.15683995857894528,0.7529760068310605,3.7999763196781116,4.127926339045286,-0.13102902941780226,0.05770023660401313,0.571920738957626,1.998122521030729,2.0568152811639893,0.09063780489856123,0.11532535633669772,0.8800782344906157,False
Materials,Cyclical,0.5281757344582951,1.2432684764932829,1.3647023210049893,1.985355333134341,0.17913163484520972,0.7328881393502938,1.2150963233258465,1.5528037780602901,2.9969262083859936,-0.15448064824382807,0.5271489612386928,0.9057750120748754,0.73294981193346,1.065073993733348,0.10988745387943985,0.2047124048919987,0.1378333239125582,False
Real_Estate_Management_and_Development,Cyclical,0.3373852071403173,0.7322686102067488,1.240498582597177,1.5228466128089801,0.03472018062433128,0.5539901938184667,0.7829938881503078,1.5374767771047901,2.296372925743429,-0.25464756333882543,0.11418936707241767,0.9236444059193151,2.1574421356791174,2.290532342101582,0.22431923285282673,0.21660498667814942,0.2394022844313477,False
Retailing,Cyclical,0.40153744153331217,1.0016655930662328,1.4458955854289535,1.8677076267617179,0.10342378250097949,0.37734216778944574,0.9265689367245791,2.568826713132714,3.247253084953649,-0.3362073413305928,0.28565321800002397,0.9026278869601907,1.2151333472880221,1.4366041268025935,0.18207816011025585,-0.02419527374386643,0.7766336234926816,True
