Variable,ECT_Coefficient,t_statistic,p_value,Significant,Interpretation
ln_ASPI,-0.0012476305119044268,-2.0637866378389687,0.03903795054024051,True,Adjusts to equilibrium
ln_Exchange_Rate,0.0007447343456258897,1.6193365299048654,0.10537487495579168,False,Weakly exogenous
Interest_Rate,0.06964148067638218,6.606209091508754,3.9428682541142734e-11,True,Weakly exogenous
ln_CCPI,0.0013706553432641926,5.827521090643722,5.6256741487459294e-09,True,Weakly exogenous
